date,country,revenue
2018-01-01,france,125.91
2018-01-01,germany,150.84
2018-01-01,united_kingdom,213.75
2018-01-01,viet_nam,110.64
2018-01-02,france,130.31
2018-01-02,germany,160.98
2018-01-02,united_kingdom,221.85
2018-01-02,viet_nam,114.34
2018-01-03,france,140.14
2018-01-03,germany,166.83
2018-01-03,united_kingdom,229.69
2018-01-03,viet_nam,125.01
2018-01-04,france,135.47
2018-01-04,germany,169.85
2018-01-04,united_kingdom,222.76
2018-01-04,viet_nam,110.34
2018-01-05,france,127.32
2018-01-05,germany,152.48
2018-01-05,united_kingdom,215.81
2018-01-05,viet_nam,106.22
2018-01-06,france,120.27
2018-01-06,germany,148.23
2018-01-06,united_kingdom,212.19
2018-01-06,viet_nam,100.28
2018-01-07,france,122.66
2018-01-07,germany,152.69
2018-01-07,united_kingdom,211.91
2018-01-07,viet_nam,106.59
2018-01-08,france,135.03
2018-01-08,germany,165.69
2018-01-08,united_kingdom,229.85
2018-01-08,viet_nam,111.88
2018-01-09,france,141.76
2018-01-09,germany,170.24
2018-01-09,united_kingdom,231.78
2018-01-09,viet_nam,130.67
2018-01-10,france,145.05
2018-01-10,germany,172.25
2018-01-10,united_kingdom,226.72
2018-01-10,viet_nam,129.97
2018-01-11,france,140.56
2018-01-11,germany,170.76
2018-01-11,united_kingdom,220.51
2018-01-11,viet_nam,120.48
2018-01-12,france,127.41
2018-01-12,germany,158.21
2018-01-12,united_kingdom,216.97
2018-01-12,viet_nam,109.23
2018-01-13,france,121.48
2018-01-13,germany,150.01
2018-01-13,united_kingdom,206.49
2018-01-13,viet_nam,104.13
2018-01-14,france,116.06
2018-01-14,germany,149.48
2018-01-14,united_kingdom,203.73
2018-01-14,viet_nam,97.57
2018-01-15,france,127.52
2018-01-15,germany,164.67
2018-01-15,united_kingdom,209.71
2018-01-15,viet_nam,115.2
2018-01-16,france,131.13
2018-01-16,germany,165.22
2018-01-16,united_kingdom,222.75
2018-01-16,viet_nam,120.82
2018-01-17,france,139.09
2018-01-17,germany,170.53
2018-01-17,united_kingdom,221.01
2018-01-17,viet_nam,115.38
2018-01-18,france,131.57
2018-01-18,germany,158.65
2018-01-18,united_kingdom,208.46
2018-01-18,viet_nam,103.47
2018-01-19,france,114.49
2018-01-19,germany,149.69
2018-01-19,united_kingdom,203.86
2018-01-19,viet_nam,102.74
2018-01-20,france,108.35
2018-01-20,germany,140.74
2018-01-20,united_kingdom,198.71
2018-01-20,viet_nam,89.2
2018-01-21,france,112.46
2018-01-21,germany,138.94
2018-01-21,united_kingdom,195.27
2018-01-21,viet_nam,90.3
2018-01-22,france,116.32
2018-01-22,germany,152.38
2018-01-22,united_kingdom,203.61
2018-01-22,viet_nam,101.56
2018-01-23,france,130.51
2018-01-23,germany,161.4
2018-01-23,united_kingdom,218.49
2018-01-23,viet_nam,110.12
2018-01-24,france,130.23
2018-01-24,germany,161.76
2018-01-24,united_kingdom,209.22
2018-01-24,viet_nam,104.55
2018-01-25,france,121.51
2018-01-25,germany,152.09
2018-01-25,united_kingdom,213.68
2018-01-25,viet_nam,101.85
2018-01-26,france,114.73
2018-01-26,germany,151.69
2018-01-26,united_kingdom,200.33
2018-01-26,viet_nam,102.17
2018-01-27,france,107.67
2018-01-27,germany,140.3
2018-01-27,united_kingdom,192.03
2018-01-27,viet_nam,90.39
2018-01-28,france,116.68
2018-01-28,germany,137.92
2018-01-28,united_kingdom,202.68
2018-01-28,viet_nam,97.61
2018-01-29,france,123.32
2018-01-29,germany,150.02
2018-01-29,united_kingdom,211.87
2018-01-29,viet_nam,104.03
2018-01-30,france,136.9
2018-01-30,germany,167.01
2018-01-30,united_kingdom,230.66
2018-01-30,viet_nam,116.94
2018-01-31,france,137.23
2018-01-31,germany,171.77
2018-01-31,united_kingdom,227.9
2018-01-31,viet_nam,130.7
2018-02-01,france,138.1
2018-02-01,germany,167.79
2018-02-01,united_kingdom,229.46
2018-02-01,viet_nam,110.78
2018-02-02,france,124.97
2018-02-02,germany,153.98
2018-02-02,united_kingdom,211.54
2018-02-02,viet_nam,101.03
2018-02-03,france,123.87
2018-02-03,germany,151.9
2018-02-03,united_kingdom,201.26
2018-02-03,viet_nam,98.34
2018-02-04,france,126.58
2018-02-04,germany,159.85
2018-02-04,united_kingdom,222.33
2018-02-04,viet_nam,125.68
2018-02-05,france,137.37
2018-02-05,germany,163.05
2018-02-05,united_kingdom,212.22
2018-02-05,viet_nam,120.36
2018-02-06,france,143.87
2018-02-06,germany,175.55
2018-02-06,united_kingdom,230.05
2018-02-06,viet_nam,128.17
2018-02-07,france,152.29
2018-02-07,germany,180.65
2018-02-07,united_kingdom,235.15
2018-02-07,viet_nam,125.66
2018-02-08,france,137.7
2018-02-08,germany,171.73
2018-02-08,united_kingdom,229.35
2018-02-08,viet_nam,136.18
2018-02-09,france,132.47
2018-02-09,germany,166.99
2018-02-09,united_kingdom,216.54
2018-02-09,viet_nam,107.9
2018-02-10,france,122.13
2018-02-10,germany,153.13
2018-02-10,united_kingdom,222.67
2018-02-10,viet_nam,103.1
2018-02-11,france,129.0
2018-02-11,germany,153.9
2018-02-11,united_kingdom,218.19
2018-02-11,viet_nam,111.87
2018-02-12,france,134.27
2018-02-12,germany,165.63
2018-02-12,united_kingdom,218.57
2018-02-12,viet_nam,120.57
2018-02-13,france,141.43
2018-02-13,germany,168.97
2018-02-13,united_kingdom,223.56
2018-02-13,viet_nam,127.06
2018-02-14,france,148.38
2018-02-14,germany,175.38
2018-02-14,united_kingdom,230.25
2018-02-14,viet_nam,128.66
2018-02-15,france,139.52
2018-02-15,germany,167.61
2018-02-15,united_kingdom,220.8
2018-02-15,viet_nam,125.62
2018-02-16,france,124.94
2018-02-16,germany,160.94
2018-02-16,united_kingdom,211.87
2018-02-16,viet_nam,99.75
2018-02-17,france,111.58
2018-02-17,germany,153.47
2018-02-17,united_kingdom,211.66
2018-02-17,viet_nam,98.13
2018-02-18,france,115.53
2018-02-18,germany,153.72
2018-02-18,united_kingdom,198.54
2018-02-18,viet_nam,94.91
2018-02-19,france,126.86
2018-02-19,germany,154.58
2018-02-19,united_kingdom,212.36
2018-02-19,viet_nam,107.63
2018-02-20,france,134.47
2018-02-20,germany,170.33
2018-02-20,united_kingdom,221.41
2018-02-20,viet_nam,121.07
2018-02-21,france,129.06
2018-02-21,germany,166.29
2018-02-21,united_kingdom,218.54
2018-02-21,viet_nam,111.72
2018-02-22,france,125.86
2018-02-22,germany,158.45
2018-02-22,united_kingdom,220.67
2018-02-22,viet_nam,104.43
2018-02-23,france,118.29
2018-02-23,germany,147.59
2018-02-23,united_kingdom,204.21
2018-02-23,viet_nam,108.19
2018-02-24,france,113.79
2018-02-24,germany,148.87
2018-02-24,united_kingdom,199.1
2018-02-24,viet_nam,92.05
2018-02-25,france,114.62
2018-02-25,germany,147.63
2018-02-25,united_kingdom,203.92
2018-02-25,viet_nam,92.91
2018-02-26,france,126.05
2018-02-26,germany,158.09
2018-02-26,united_kingdom,226.16
2018-02-26,viet_nam,121.24
2018-02-27,france,133.96
2018-02-27,germany,166.8
2018-02-27,united_kingdom,217.05
2018-02-27,viet_nam,117.25
2018-02-28,france,141.35
2018-02-28,germany,176.68
2018-02-28,united_kingdom,224.66
2018-02-28,viet_nam,120.83
2018-03-01,france,129.18
2018-03-01,germany,166.45
2018-03-01,united_kingdom,218.26
2018-03-01,viet_nam,116.87
2018-03-02,france,124.36
2018-03-02,germany,158.12
2018-03-02,united_kingdom,206.2
2018-03-02,viet_nam,102.69
2018-03-03,france,128.67
2018-03-03,germany,148.66
2018-03-03,united_kingdom,204.85
2018-03-03,viet_nam,117.88
2018-03-04,france,135.03
2018-03-04,germany,153.18
2018-03-04,united_kingdom,212.57
2018-03-04,viet_nam,113.01
2018-03-05,france,142.45
2018-03-05,germany,164.89
2018-03-05,united_kingdom,224.19
2018-03-05,viet_nam,126.65
2018-03-06,france,149.31
2018-03-06,germany,178.1
2018-03-06,united_kingdom,235.54
2018-03-06,viet_nam,124.56
2018-03-07,france,150.71
2018-03-07,germany,181.99
2018-03-07,united_kingdom,240.84
2018-03-07,viet_nam,132.97
2018-03-08,france,147.15
2018-03-08,germany,181.44
2018-03-08,united_kingdom,234.81
2018-03-08,viet_nam,132.8
2018-03-09,france,135.95
2018-03-09,germany,167.46
2018-03-09,united_kingdom,220.53
2018-03-09,viet_nam,122.71
2018-03-10,france,129.13
2018-03-10,germany,169.49
2018-03-10,united_kingdom,225.68
2018-03-10,viet_nam,116.83
2018-03-11,france,129.22
2018-03-11,germany,158.78
2018-03-11,united_kingdom,225.91
2018-03-11,viet_nam,118.26
2018-03-12,france,141.77
2018-03-12,germany,165.1
2018-03-12,united_kingdom,233.47
2018-03-12,viet_nam,128.3
2018-03-13,france,145.52
2018-03-13,germany,178.74
2018-03-13,united_kingdom,238.72
2018-03-13,viet_nam,134.49
2018-03-14,france,149.16
2018-03-14,germany,181.43
2018-03-14,united_kingdom,237.38
2018-03-14,viet_nam,136.36
2018-03-15,france,146.63
2018-03-15,germany,163.78
2018-03-15,united_kingdom,229.69
2018-03-15,viet_nam,128.75
2018-03-16,france,131.22
2018-03-16,germany,160.7
2018-03-16,united_kingdom,210.25
2018-03-16,viet_nam,117.85
2018-03-17,france,127.48
2018-03-17,germany,148.04
2018-03-17,united_kingdom,215.37
2018-03-17,viet_nam,105.95
2018-03-18,france,122.89
2018-03-18,germany,150.76
2018-03-18,united_kingdom,210.2
2018-03-18,viet_nam,116.57
2018-03-19,france,132.73
2018-03-19,germany,169.84
2018-03-19,united_kingdom,225.72
2018-03-19,viet_nam,119.4
2018-03-20,france,144.27
2018-03-20,germany,172.75
2018-03-20,united_kingdom,232.08
2018-03-20,viet_nam,123.11
2018-03-21,france,140.43
2018-03-21,germany,169.42
2018-03-21,united_kingdom,234.13
2018-03-21,viet_nam,119.09
2018-03-22,france,135.23
2018-03-22,germany,164.12
2018-03-22,united_kingdom,227.73
2018-03-22,viet_nam,123.38
2018-03-23,france,127.37
2018-03-23,germany,156.85
2018-03-23,united_kingdom,203.09
2018-03-23,viet_nam,107.58
2018-03-24,france,111.67
2018-03-24,germany,145.16
2018-03-24,united_kingdom,211.84
2018-03-24,viet_nam,105.16
2018-03-25,france,115.53
2018-03-25,germany,145.64
2018-03-25,united_kingdom,206.94
2018-03-25,viet_nam,96.55
2018-03-26,france,125.46
2018-03-26,germany,160.82
2018-03-26,united_kingdom,222.45
2018-03-26,viet_nam,117.42
2018-03-27,france,130.78
2018-03-27,germany,171.0
2018-03-27,united_kingdom,227.26
2018-03-27,viet_nam,126.51
2018-03-28,france,145.92
2018-03-28,germany,164.97
2018-03-28,united_kingdom,227.42
2018-03-28,viet_nam,131.07
2018-03-29,france,131.2
2018-03-29,germany,174.02
2018-03-29,united_kingdom,227.14
2018-03-29,viet_nam,127.55
2018-03-30,france,125.39
2018-03-30,germany,162.55
2018-03-30,united_kingdom,221.84
2018-03-30,viet_nam,115.1
2018-03-31,france,123.02
2018-03-31,germany,155.62
2018-03-31,united_kingdom,207.45
2018-03-31,viet_nam,108.11
2018-04-01,france,125.96
2018-04-01,germany,160.2
2018-04-01,united_kingdom,220.92
2018-04-01,viet_nam,106.82
2018-04-02,france,137.21
2018-04-02,germany,175.78
2018-04-02,united_kingdom,223.42
2018-04-02,viet_nam,119.47
2018-04-03,france,149.28
2018-04-03,germany,184.35
2018-04-03,united_kingdom,238.33
2018-04-03,viet_nam,143.55
2018-04-04,france,155.13
2018-04-04,germany,188.25
2018-04-04,united_kingdom,244.98
2018-04-04,viet_nam,153.5
2018-04-05,france,146.82
2018-04-05,germany,171.77
2018-04-05,united_kingdom,245.15
2018-04-05,viet_nam,131.74
2018-04-06,france,138.45
2018-04-06,germany,175.73
2018-04-06,united_kingdom,219.86
2018-04-06,viet_nam,117.74
2018-04-07,france,127.63
2018-04-07,germany,161.65
2018-04-07,united_kingdom,224.43
2018-04-07,viet_nam,122.77
2018-04-08,france,136.04
2018-04-08,germany,161.99
2018-04-08,united_kingdom,213.51
2018-04-08,viet_nam,122.82
2018-04-09,france,143.3
2018-04-09,germany,179.0
2018-04-09,united_kingdom,238.13
2018-04-09,viet_nam,132.9
2018-04-10,france,156.15
2018-04-10,germany,187.26
2018-04-10,united_kingdom,246.47
2018-04-10,viet_nam,137.07
2018-04-11,france,155.09
2018-04-11,germany,188.91
2018-04-11,united_kingdom,249.73
2018-04-11,viet_nam,140.76
2018-04-12,france,149.84
2018-04-12,germany,179.73
2018-04-12,united_kingdom,237.73
2018-04-12,viet_nam,140.82
2018-04-13,france,130.76
2018-04-13,germany,164.1
2018-04-13,united_kingdom,219.42
2018-04-13,viet_nam,110.38
2018-04-14,france,126.88
2018-04-14,germany,164.49
2018-04-14,united_kingdom,217.64
2018-04-14,viet_nam,117.83
2018-04-15,france,133.03
2018-04-15,germany,167.67
2018-04-15,united_kingdom,219.62
2018-04-15,viet_nam,125.68
2018-04-16,france,137.88
2018-04-16,germany,166.88
2018-04-16,united_kingdom,224.88
2018-04-16,viet_nam,116.59
2018-04-17,france,142.77
2018-04-17,germany,176.66
2018-04-17,united_kingdom,239.76
2018-04-17,viet_nam,143.71
2018-04-18,france,142.14
2018-04-18,germany,180.53
2018-04-18,united_kingdom,231.43
2018-04-18,viet_nam,137.16
2018-04-19,france,138.07
2018-04-19,germany,163.84
2018-04-19,united_kingdom,233.51
2018-04-19,viet_nam,122.93
2018-04-20,france,125.33
2018-04-20,germany,155.37
2018-04-20,united_kingdom,214.11
2018-04-20,viet_nam,117.67
2018-04-21,france,119.0
2018-04-21,germany,153.64
2018-04-21,united_kingdom,211.88
2018-04-21,viet_nam,115.75
2018-04-22,france,120.3
2018-04-22,germany,148.2
2018-04-22,united_kingdom,217.22
2018-04-22,viet_nam,107.67
2018-04-23,france,133.83
2018-04-23,germany,164.82
2018-04-23,united_kingdom,220.43
2018-04-23,viet_nam,120.98
2018-04-24,france,145.84
2018-04-24,germany,181.12
2018-04-24,united_kingdom,230.98
2018-04-24,viet_nam,129.42
2018-04-25,france,146.0
2018-04-25,germany,172.24
2018-04-25,united_kingdom,235.14
2018-04-25,viet_nam,131.17
2018-04-26,france,138.02
2018-04-26,germany,166.62
2018-04-26,united_kingdom,219.88
2018-04-26,viet_nam,113.27
2018-04-27,france,124.42
2018-04-27,germany,158.83
2018-04-27,united_kingdom,217.1
2018-04-27,viet_nam,128.09
2018-04-28,france,125.96
2018-04-28,germany,151.72
2018-04-28,united_kingdom,215.23
2018-04-28,viet_nam,108.97
2018-04-29,france,125.67
2018-04-29,germany,160.22
2018-04-29,united_kingdom,220.52
2018-04-29,viet_nam,113.34
2018-04-30,france,140.81
2018-04-30,germany,166.02
2018-04-30,united_kingdom,228.6
2018-04-30,viet_nam,142.13
2018-05-01,france,149.45
2018-05-01,germany,187.51
2018-05-01,united_kingdom,240.24
2018-05-01,viet_nam,141.27
2018-05-02,france,152.71
2018-05-02,germany,185.23
2018-05-02,united_kingdom,240.04
2018-05-02,viet_nam,144.54
2018-05-03,france,145.55
2018-05-03,germany,183.81
2018-05-03,united_kingdom,244.63
